"d20","d30","d40","d50","d100","d200","d300","d400","d500"
10,12,5,0,26,10,26,37,40
5,2,5,8,3,5,13,40,23
0,3,5,11,6,20,50,68,17
11,2,2,0,21,5,31,45,56
0,0,0,2,5,15,50,49,10
6,10,5,20,0,35,0,0,7
3,5,25,15,3,32,49,45,58
15,7,0,0,28,52,40,77,10
0,0,0,6,0,26,6,11,66
3,0,0,10,16,10,45,36,37
8,0,10,2,6,5,51,30,53
6,0,2,3,20,30,46,37,45
0,3,0,10,21,31,61,66,46
0,0,2,11,13,42,36,31,45
0,7,5,3,25,23,32,72,41
6,0,0,2,0,20,15,45,54
3,0,15,6,3,43,50,57,75
5,2,10,3,0,16,5,25,40
11,0,0,2,11,21,12,42,32
5,0,0,0,10,43,50,36,45
0,21,8,5,15,48,47,18,56
15,5,4,2,7,30,36,61,41
2,6,13,0,7,41,46,52,27
6,5,2,0,22,20,25,45,35
7,6,6,0,27,33,35,40,37
0,5,2,3,0,34,45,31,40
15,9,6,11,16,46,41,40,66
4,5,0,17,8,3,0,14,51
6,4,7,10,19,14,46,58,56
6,2,10,14,6,26,41,51,58
0,0,5,2,6,31,40,53,62
7,3,10,6,0,10,46,43,51
0,0,0,5,10,14,28,38,17
5,5,5,6,3,33,32,67,49
3,0,11,15,5,45,47,50,30
5,2,0,0,16,30,50,45,27
2,5,0,2,2,28,56,54,48
2,12,12,15,0,25,32,36,57
0,13,0,13,0,32,45,7,57
4,3,0,2,34,33,40,65,42
10,3,0,15,13,28,46,56,65
18,4,3,2,19,27,23,46,47
3,0,10,10,16,30,45,34,38
0,0,5,10,0,26,31,45,37
7,10,25,12,16,16,35,37,41
0,8,8,7,5,4,52,41,65
5,10,0,0,0,0,17,50,36
8,14,3,10,11,0,51,65,41
5,7,14,2,7,40,39,26,45
7,2,3,2,0,30,43,36,27
6,0,0,6,13,23,26,37,30
2,6,12,0,0,37,54,47,44
11,2,0,0,26,18,51,26,36
2,0,5,0,16,5,23,40,44
0,17,0,2,15,35,54,48,52
0,10,0,0,4,33,37,46,30
3,0,2,5,17,42,32,68,58
3,0,2,2,11,32,57,70,37
7,6,0,0,0,36,45,10,75
2,2,2,6,5,30,61,40,36
13,13,9,15,10,35,31,43,50
9,5,7,2,20,26,36,68,37
16,0,2,0,6,37,33,50,36
10,0,10,23,5,48,32,38,38
2,6,5,0,15,32,30,38,65
0,5,6,0,4,11,31,52,56
5,5,6,3,6,13,20,4,42
3,3,6,15,0,27,32,53,52
12,0,7,0,12,30,2,55,44
0,10,11,11,16,21,43,10,15
4,2,0,0,17,10,33,60,55
9,7,0,5,25,22,13,39,51
2,2,0,2,5,11,42,26,46
5,2,2,15,43,44,15,60,80
0,10,2,0,3,12,28,45,27
6,0,5,16,12,36,16,47,65
3,0,14,20,2,15,50,31,57
2,21,3,7,16,10,27,20,42
6,15,0,2,10,32,29,37,88
6,5,5,0,5,34,31,35,50
0,25,6,15,2,11,46,39,48
15,0,0,0,0,12,30,27,35
5,12,7,0,6,30,31,52,48
6,2,7,0,25,75,45,3,61
5,3,0,6,10,15,36,41,26
0,0,0,2,20,31,2,15,11
0,6,5,11,15,30,33,42,44
0,0,12,3,30,25,55,71,75
5,11,5,2,23,41,16,67,66
4,0,5,4,25,21,50,64,57
6,2,7,2,18,18,35,35,39
2,6,5,0,0,15,43,50,39
2,7,5,2,7,37,57,49,33
6,2,12,0,21,28,34,35,48
0,0,0,0,10,6,45,33,42
7,15,4,6,30,14,9,56,56
0,0,10,8,2,24,31,35,31
0,0,4,10,23,28,2,36,36
10,10,10,0,15,20,32,57,44
6,0,3,5,22,11,47,60,42
