"d20","d30","d40","d50","d100"
6,2,6,6,3
10,14,8,12,0
10,6,10,9,6
10,11,6,10,9
9,12,0,8,0
12,8,2,3,0
9,10,7,4,6
8,10,13,6,6
15,11,5,5,7
11,7,7,19,0
17,16,5,9,2
10,14,8,10,0
5,2,9,11,10
12,25,17,21,2
12,6,10,13,20
10,11,3,5,0
17,12,7,10,2
5,7,10,10,2
11,2,4,6,8
8,6,18,6,6
15,11,10,5,10
12,7,5,5,5
11,11,5,7,8
7,17,9,8,7
16,12,8,5,0
17,5,2,7,6
7,11,8,8,2
13,6,10,10,7
5,8,6,0,4
7,7,16,9,5
2,9,2,5,3
6,3,5,7,2
5,6,5,5,2
11,12,11,9,9
11,12,2,12,0
6,4,8,6,3
15,8,7,2,6
4,11,4,3,5
5,2,11,14,0
16,4,3,6,2
9,7,2,6,2
7,10,7,0,2
10,12,2,10,7
9,13,0,0,0
9,2,7,3,0
6,6,2,5,0
10,11,12,7,0
12,2,4,10,2
3,6,6,2,10
4,7,6,2,0
15,11,7,5,0
9,19,9,5,7
10,8,13,8,6
6,4,6,9,0
15,13,3,0,0
5,10,11,9,0
8,3,9,9,6
5,6,11,0,10
5,9,11,8,0
8,7,7,8,2
4,6,6,12,3
9,10,6,2,2
5,8,11,4,2
10,9,2,5,2
5,7,28,10,3
8,9,10,6,5
13,2,5,17,6
7,11,14,10,7
5,12,6,7,3
13,20,7,2,5
6,9,8,8,5
7,14,11,17,0
6,6,0,5,5
4,10,9,5,2
17,10,6,7,3
10,3,11,3,0
4,5,5,8,10
9,5,6,6,8
14,14,5,12,4
7,6,11,9,8
5,20,10,5,0
18,5,11,10,9
7,2,6,14,10
12,15,6,7,21
11,6,5,2,3
4,8,10,6,15
9,10,12,2,5
12,12,10,8,7
9,10,10,22,3
15,6,8,8,17
10,16,15,12,7
6,7,11,15,3
9,15,11,4,2
11,17,21,6,0
7,7,2,10,8
6,9,6,2,0
6,11,7,11,0
9,6,9,7,18
2,25,10,5,0
9,15,12,3,6
